Zeit,ethereum
1730092432904,2481.9983301490847
1730095930010,2483.309425520154
1730099035681,2487.9588289309972
1730102955158,2511.2422906838547
1730106286835,2509.321130835096
1730109690425,2534.078401238557
1730114224887,2528.980432295753
1730117672418,2518.5118783824687
1730121450381,2525.56489279273
1730124442416,2520.2402348834207
1730127793950,2525.0136282968006
1730131549058,2498.7661698511865
1730135727509,2501.927757921758
1730139086628,2508.1715309353194
1730142127888,2504.629637329914
1730145743558,2504.5959131141553
1730150334915,2517.8089615683407
1730153975636,2576.236919059006
1730157153192,2574.71428439099
1730160087179,2567.0887533496343
1730164785902,2577.5222451163563
1730167360623,2585.4608130419874
1730170872741,2613.0389572478007
1730174694929,2604.3913297555673
1730179152279,2617.050989131356
1730181951607,2617.6148827481156
1730185647107,2616.4481842014575
1730189394845,2613.0430233852994
1730193590776,2621.0711609791924
1730196880604,2620.333719001447
1730199899548,2630.7152027455186
1730204202209,2621.314548233997
1730206922098,2619.2814869915246
1730211064226,2626.8092923971353
1730214369442,2628.711172505499
1730218111344,2646.6600825367677
1730221766016,2676.141854692579
1730225939791,2654.8239252590806
1730228842371,2665.0431895325264
1730232675264,2614.275395796388
1730236455256,2625.0157954802644
1730239742982,2619.766650986696
1730243642372,2632.7330949438897
1730247518430,2634.819498831142
1730251037692,2609.0823590542395
1730254032781,2623.7964343737794
1730257322405,2627.3204122210427
1730261394195,2642.576612713891
1730265505913,2644.331433263695
1730269108511,2667.4896263019523
1730272425648,2661.265903066225
1730275416086,2670.036465785044
1730279767546,2669.718709207938
1730283533849,2691.6622269010945
1730286522513,2675.640119949339
1730290677613,2664.2469531961165
1730293607793,2681.371244067791
1730297973726,2719.877423724934
1730300792832,2708.749121319612
1730304881723,2680.902200827463
1730308313455,2677.806837404575
1730311838355,2673.8373045177555
1730315224444,2663.436225610086
1730318830456,2674.0819290321188
1730322239226,2679.7968738562013
1730326343555,2658.896259978293
1730330244399,2667.8086761776444
1730333386497,2659.2920295521026
1730337471193,2663.3632787176975
1730340633264,2659.1653914375793
1730344593983,2663.1538763023527
1730347415975,2655.9423507768233
1730350999299,2645.2177169504157
1730354444686,2648.538185100719
1730358048781,2638.3698744555213
1730362534351,2642.129438341714
1730365590274,2638.7079269796523
1730368842900,2636.02466055071
1730373325628,2640.9240386732827
1730377194578,2637.470459051803
1730380388610,2633.7017610288635
1730384254328,2583.3989336053746
1730387853759,2562.3363654288974
1730391549015,2556.692969578718
